id,id_municipio,id_estado,nome,localizacao,rede,coordenadas_latitude,coordenadas_longitude,has_inf,has_fund_ai,has_fund_af,has_fund_em
27004023,2707107,27,ESCOLA MUNICIPAL PROFESSORA ALZIRA MAZZONI DE ALMEIDA,Rural,Municipal,-9.504589,-37.676979,true,true,true,false
27004066,2707107,27,ESCOLA RURAL DOM ANTONIO BRANDAO,Rural,Municipal,-9.669503,-37.659067,true,true,true,false
27004074,2707107,27,ESCOLA MUNICIPAL DE EDUCACAO BASICA DESEMBARGADOR ANTONIO NUNES ARAUJO,Rural,Municipal,-9.487268,-37.728627,true,true,true,false
27004082,2707107,27,ESCOLA MUNICIPAL DEPUTADO JOSE BANDEIRA,Rural,Municipal,-9.424250,-37.715396,false,true,true,false
27004210,2707107,27,ESCOLA MUNICIPAL FREI DAMIAO,Rural,Municipal,-9.389744,-37.669469,true,true,true,false
27004368,2707107,27,ESCOLA ESTADUAL DE XINGO II- EEX-II,Urbana,Estadual,-9.607684,-37.759785,false,false,true,true
27004376,2707107,27,ESCOLA ESTADUAL CELSO RODRIGUES REGO,Urbana,Estadual,-9.606498,-37.770780,false,false,true,true
27005933,2706406,27,COLEGIO SAO VICENTE,Urbana,Privada,-9.747190,-37.436336,true,true,true,true
27006077,2706406,27,UNIDADE MUNICIPAL DE ENSINO SITIO JOAO LEITE,Rural,Municipal,-9.643528,-37.507503,true,true,true,false
27006107,2706406,27,UNIDADE MUNICIPAL DE ENSINO PE DA SERRA,Rural,Municipal,-9.655275,-37.371960,true,true,false,false
27006123,2706406,27,UNIDADE MUNICIPAL DE ENSINO MANOEL RODRIGUES CORREIA,Rural,Municipal,-9.595358,-37.576380,true,true,false,false
27006131,2706406,27,UNIDADE MUNICIPAL DE ENSINO ANA TEREZA DE JESUS,Rural,Municipal,-9.682367,-37.395332,true,true,false,false
27006166,2706406,27,UNIDADE MUNICIPAL DE ENS PROF JAIME DE ALTAVILLA,Rural,Municipal,-9.671275,-37.382460,false,false,true,false
27006182,2706406,27,UNIDADE MUNICIPAL DE ENSINO JOSE GONCALVES DE ANDRADE,Rural,Municipal,-9.749628,-37.446500,true,true,true,false
27006204,2706406,27,UNIDADE MUNICIPAL DE ENSINO CAMPO NOVO,Rural,Municipal,-9.661429,-37.547999,false,false,true,false
27006212,2706406,27,UNIDADE MUNICIPAL VER ANTONIO MACHADO GUIMARAES,Rural,Municipal,-9.749378,-37.435172,true,true,false,false
27006280,2706406,27,UNIDADE MUNICIPAL DE ENSINO JOSE TAVARES DE CASTRO,Rural,Municipal,-9.786944,-37.341086,false,false,true,false
27006328,2706406,27,UNIDADE MUNICIPAL DE ENSINO JOAQUIM FONSECA,Urbana,Municipal,-9.742036,-37.434482,true,true,false,false
27006336,2706406,27,UNIDADE MUNICIPAL DE ENSINO PROF MANOEL ALVES,Rural,Municipal,-9.736831,-37.525878,true,true,false,false
27006352,2706406,27,UNIDADE MUNICIPAL DE ENSINO CAP MANOEL REGO,Rural,Municipal,-9.651189,-37.363731,true,true,false,false
27006379,2706406,27,UNIDADE MUNICIPAL DE ENSINO DE ALECRIM,Rural,Municipal,-9.812014,-37.318513,true,true,false,false
27006433,2706406,27,UNIDADE MUNICIPAL DE ENSINO MONSENHOR LYRA,Rural,Municipal,-9.673888,-37.373610,true,true,false,false
27006468,2706406,27,UNIDADE MUNICIPAL DE ENSINO SAO MIGUEL,Rural,Municipal,-9.660187,-37.594406,true,true,false,false
27006492,2706406,27,UNIDADE MUNICIPAL ENS JULIO DAMASCENO RIBEIRO,Rural,Municipal,-9.749378,-37.435172,true,true,false,false
27006530,2706406,27,UNIDADE MUNICIPAL DE ENSINO RONALCO DOS ANJOS,Urbana,Municipal,-9.747695,-37.448181,true,true,false,false
27006549,2706406,27,UNIDADE MUNICIPAL DE ENSINO SENADOR RUI PALMEIRA,Urbana,Municipal,-9.749763,-37.439700,true,true,false,false
27006573,2706406,27,UNIDADE MUNIC DE ENS PROFª Mª CELESTE M DE ANDRADE,Rural,Municipal,-9.709580,-37.328866,true,true,false,false
27010902,2705705,27,ESCOLA MUNICIPAL DE EDUCACAO BASICA PONCIANO MACHADO VILAR,Rural,Municipal,-9.530122,-37.247980,true,true,true,false
27011070,2705705,27,ESCOLA MUNICIPAL DE EDUCACAO BASICA MANOEL FLORENCIO DOS SANTOS,Rural,Municipal,-9.532161,-37.294862,true,true,true,false
27011089,2705705,27,ESCOLA MUNICIPAL DE EDUCACAO BASICA VEREADOR IZIDRO PEREIRA FILHO,Urbana,Municipal,-9.535423,-37.295870,false,true,false,false
27011119,2705705,27,ESCOLA MUNICIPAL ELISA ABREU,Urbana,Municipal,-9.538338,-37.294690,false,true,false,false
27011135,2705705,27,ESCOLA MUNICIPAL DE EDUCACAO BASICA LUIZ JOSE GREGORIO,Rural,Municipal,-9.532161,-37.294862,true,true,false,false
27011143,2705705,27,ESCOLA MUNICIPAL DE EDUCACAO BASICA MANOEL MELO DE ABREU,Urbana,Municipal,-9.529445,-37.295620,false,true,false,false
27011178,2705705,27,ESCOLA ESTADUAL PADRE ANTONIO DUARTE,Urbana,Estadual,-9.530538,-37.295190,false,false,true,true
27011852,2701209,27,ESCOLA MUNICIPAL DE EDUCACAO BASICA LICEU CACIMBINHENSE,Urbana,Municipal,-9.399187,-36.990539,false,false,true,false
27011984,2701209,27,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL JOSE CALADO CAVALCANTE,Rural,Municipal,-9.400381,-36.923011,false,true,true,false
27012026,2701209,27,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL CORONEL DEZINHO DUARTE,Urbana,Municipal,-9.402716,-36.991184,false,true,false,false
27012085,2701209,27,ESCOLA MUNICIPAL DE EDUCACAO BASICA JOSE PINHEIRO DA SILVA,Rural,Municipal,-9.520957,-36.915523,true,true,true,false
27015530,2707602,27,ESCOLA MUL DE EDUC BAS JOVELINA SALDANHA DA C LIMA,Urbana,Municipal,-9.318753,-36.471025,false,true,false,false
27015696,2707602,27,ESCOLA MUNICIPAL DE EDUCACAO BASICA CRISTINO PACIENTE VEIGA,Rural,Municipal,-9.284708,-36.549714,true,true,false,false
27015718,2707602,27,ESCOLA MUNICIPAL DE EDUCACAO BASICA RODRIGO JACINTO TENORIO,Rural,Municipal,-9.282555,-36.416229,true,true,false,false
27025675,2700409,27,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL JOAO CORDEIRO DE SOUZA JUNIOR,Rural,Municipal,-9.537529,-36.176872,true,true,true,false
27025683,2700409,27,ESCOLA DE ENSINO FUNDAMENTAL ANTONIO AMANCIO DE MELO BASTOS,Urbana,Municipal,-9.510997,-36.000450,false,true,true,false
27025691,2700409,27,ESCOLA DE 1º GRAU DR EMILIO DE MAIA,Rural,Municipal,-9.505544,-36.023658,true,true,false,false
27025730,2700409,27,ESCOLA MUNICIPAL FRANCISCO DE ALBUQUERQUE PONTES,Rural,Municipal,-9.460187,-36.024878,false,true,true,false
27026060,2700409,27,ESCOLA DE 1º GRAU ANTONIO VIEIRA DA COSTA,Urbana,Municipal,-9.506608,-36.028153,false,false,true,false
27026108,2700409,27,ESCOLA SAO PEDRO,Rural,Municipal,-9.510397,-36.005404,false,true,false,false
27026124,2700409,27,GRUPO ESCOLAR CICERO CABRAL TOLEDO,Rural,Municipal,-9.491119,-36.025859,true,true,false,false
27026140,2700409,27,ESCOLA MUNICIPAL DR DOMINGOS CORREIA,Rural,Municipal,-9.546135,-35.982989,true,true,true,false
27026191,2700409,27,ESCOLA JOAQUIM FORTUNATO BITENCOURT FILHO,Urbana,Municipal,-9.510815,-36.005299,true,true,false,false
27026221,2700409,27,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL LUCIO FIDELIS DE MOURA,Rural,Municipal,-9.495696,-36.203290,true,true,true,false
27026230,2700409,27,ESCOLA MUNICIPAL PADRE MEDEIROS NETO,Rural,Municipal,-9.485482,-36.002771,false,true,false,false
27026280,2700409,27,ESCOLA MUNICIPAL JACINTO OLIVEIRA,Rural,Municipal,-9.488055,-36.151931,true,true,false,false
27026353,2700409,27,ESCOLA MUNICIPAL JOSE MARTINS DE ALMEIDA,Rural,Municipal,-9.495854,-36.082843,false,true,false,false
27029174,2703908,27,ESCOLA DE ENSINO FUNDAMENTAL LUIZ MENDONCA UCHOA,Rural,Municipal,-8.940451,-35.555721,true,true,false,false
27029212,2703908,27,ESCOLA DE ENSINO FUNDAMENTAL PEDRO SURUAGY,Urbana,Municipal,-8.940451,-35.555721,false,true,true,false
27029239,2703908,27,ESCOLA DE ENSINO FUNDAMENTAL TEOTONIO VILELA,Rural,Municipal,-8.940451,-35.555721,true,true,false,false
27029263,2703908,27,ESCOLA DE ENSINO FUNDAMENTAL MAXIMINO BUARQUE,Rural,Municipal,-8.940451,-35.555721,true,true,false,false
27029344,2703908,27,ESCOLA DE ENSINO FUND DEP ANTONIO R ALBUQUERQUE,Rural,Municipal,-8.942540,-35.553991,true,true,false,false
27039579,2706448,27,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL ALFREDO LEANDRO NETO,Urbana,Municipal,-9.465364,-35.557700,true,true,false,false
27039587,2706448,27,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL DOM PEDRO I,Urbana,Municipal,-9.464174,-35.546023,false,true,false,false
27039692,2706901,27,E M E B MINISTRO JARBAS PASSARINHO,Urbana,Municipal,-9.593737,-35.956690,false,true,false,false
27039706,2706901,27,E M E B ANTONIO EUSTAQUIO DE MELO,Rural,Municipal,-9.598773,-36.072501,true,true,false,false
27039790,2706901,27,E M E B PROFESSORA LOURINETE DOS SANTOS BARBOSA PEREIRA,Urbana,Municipal,-9.593540,-35.951444,false,true,false,false
27039927,2706901,27,E M E B DEPUTADO OSEAS CARDOSO,Urbana,Municipal,-9.608563,-35.953711,false,true,false,false
27040054,2706901,27,E M E B PROFESSORA JACY DA COSTA AIRES,Urbana,Municipal,-9.588647,-35.959239,false,true,false,false
27044750,2702702,27,ESCOLA MUNICIPAL DE EDUCACAO BASICA HEVYTON ALVES POSSIDONIO,Urbana,Municipal,-10.289158,-36.303125,false,false,true,false
27044769,2702702,27,ESCOLA MUNICIPAL DE EDUCACAO BASICA VEREADOR ANTONIO CAETANO DE MELO,Rural,Municipal,-10.254220,-36.381982,true,true,false,false
27047350,2706448,27,ESCOLA DE EDUCACAO BASICA MUNDO DO SABER,Urbana,Privada,,,true,true,true,false
27047873,2706406,27,UNIDADE MUNICIPAL DE ENSINO MINISTRO AUGUSTO DE FREITAS MACHADO,Rural,Municipal,-9.673005,-37.377042,false,false,true,false
27047938,2700409,27,ESCOLA MUNICIPAL ADILIA VIEIRA DA COSTA,Rural,Municipal,-9.530159,-36.065278,true,true,false,false
27048004,2706901,27,ESPACO EDUCACIONAL TIA IVONETE,Urbana,Privada,-9.590840,-35.963550,true,true,true,true
27048713,2700409,27,CENTRO EDUCACIONAL LUZ DO SABER,Urbana,Privada,,,false,true,false,false
27049728,2706901,27,EEB HELENA DE OLIVEIRA,Urbana,Privada,,,true,true,true,false
27050874,2705705,27,ESCOLA DE EDUCACAO BASICA PINGO DE GENTE,Urbana,Privada,,,true,true,false,false
27051285,2700409,27,CENTRO EDUCACIONAL EDUCANDO COM SABER,Urbana,Privada,,,true,true,true,false
27051358,2706901,27,ESCOLA DE ENSINO INFANTIL E FUNDAMENTAL GIRASSOL,Urbana,Privada,,,true,true,false,false
27052095,2707107,27,COLEGIO DE EDUCACAO BASICA MODULO SABER,Urbana,Privada,-9.601440,-37.769676,false,false,true,true
27052125,2700409,27,COLEGIO INOVAR,Urbana,Privada,-9.503881,-36.024806,false,true,true,true
27052150,2705705,27,COLEGIO PROFESSOR VALDEMAR FARIAS ABREU,Urbana,Privada,,,true,true,true,false
27052176,2706406,27,ESCOLA PRIMEIROS PASSOS,Urbana,Privada,-9.747800,-37.436713,true,true,false,false
27052184,2706406,27,CENTRO EDUCACIONAL OPCAO-CEO,Urbana,Privada,,,true,true,false,false
27052230,2706901,27,ESCOLA MUNICIPAL DE EDUCACAO BASICA VEREADOR JOSE WASHINGTON MELO MAIA,Rural,Municipal,-9.554968,-35.966247,false,true,false,false
27052893,2706901,27,ESCOLA MUNICIPAL DE EDUCACAO BASICA PROFESSORA MARIA GORETE DA SILVA,Urbana,Municipal,-9.594531,-35.966951,true,true,false,false
27052907,2706901,27,ESCOLA MUNICIPAL PROFESSORA SUELI CRISTINA SANTOS CHAGAS,Urbana,Municipal,-9.585425,-35.962059,false,true,false,false
27054063,2706901,27,CENTRO INTEGRAL DE ENSINO FUNDAMENTAL BILINGUE DE PILAR PROFESSORA MARIA EUDA DE MELO OMENA,Urbana,Municipal,-9.593975,-35.957063,false,true,false,false
27216632,2705705,27,COLEGIO IMACULADA CONCEICAO,Urbana,Privada,,,true,true,true,false
27216969,2706448,27,ESCOLA MUL DE ENS FUND DR PEDRO ADOLPHO MARTINS REYS,Urbana,Municipal,-9.467507,-35.555149,false,true,false,false
27217230,2706448,27,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL MARIA DAS GRACAS OLIVEIRA,Urbana,Municipal,-9.467484,-35.555240,false,false,true,false
27217639,2707107,27,COOPEX - ESCOLA CONVIVENDO,Urbana,Privada,-9.612982,-37.765900,true,true,true,true
27220125,2700409,27,ESCOLA MUNICIPAL SUZANA CRAVEIRO COSTA DE MEDEIROS,Rural,Municipal,-9.508629,-35.992277,false,true,true,false
27220389,2706406,27,UNIDADE MUNICIPAL DE ENSINO PEDRO SOARES DOS PRAZERES,Rural,Municipal,-9.543848,-37.579554,true,true,true,false
27221890,2705705,27,ESCOLA MUNICIPAL DE EDUCACAO BASICA MARIA AUGUSTA SILVA MELO,Urbana,Municipal,-9.532161,-37.294862,false,false,true,false
27221997,2700409,27,ESCOLA MUNICIPAL ASSENTAMENTO BOA FE,Rural,Municipal,-9.588884,-36.081837,true,true,false,false
27222020,2700409,27,ESCOLA MUNICIPAL ASSENTAMENTO FLOR DA SERRA,Rural,Municipal,-9.540613,-36.198366,true,true,false,false
27222217,2707107,27,ESCOLA PROFESSORA SONIA MARIA NUNES CORDEIRO,Urbana,Municipal,-9.598519,-37.772665,true,true,false,false
27222225,2707107,27,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL NOSSA SENHORA DA SAUDE,Urbana,Municipal,-9.607101,-37.761076,false,true,false,false
27222586,2702702,27,ESCOLA MUNICIPAL DE EDUCACAO BASICA JOAO MANUEL MUNIZ SIMOES,Urbana,Municipal,-10.294962,-36.309483,false,true,false,false
27222756,2706406,27,UNIDADE MUNICIPAL DE ENSINO BRAULIO CAVALCANTE,Urbana,Municipal,-9.748742,-37.432650,false,false,true,false
27222985,2700409,27,ESCOLA MUNICIPAL ASSENTAMENTO BRASILEIRO,Rural,Municipal,-9.545278,-36.068519,true,true,false,false
27224163,2700409,27,ESCOLA MUNICIPAL DR JOAO CARLOS,Rural,Municipal,-9.497471,-36.094921,false,false,true,false
27224210,2706901,27,ESCOLA MACHADO DE ASSIS,Urbana,Privada,-9.607854,-35.953200,true,true,true,true
27224279,2701209,27,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL JOAO OLIVEIRA DOS REIS,Urbana,Municipal,-9.394772,-36.985020,false,true,false,false
27224600,2707107,27,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL LUIZ TERTULIANO DA PAZ,Rural,Municipal,-9.481475,-37.672104,false,true,true,false
27224724,2707107,27,ESCOLA DE ENSINO FUNDAMENTAL ARCO IRIS LTDA,Urbana,Privada,-9.603395,-37.771185,true,true,false,false
27225577,2706901,27,E M E B PROFESSOR ARTHUR RAMOS,Urbana,Municipal,-9.591198,-35.962382,false,true,true,false
27225763,2700409,27,ESCOLA MUNICIPAL PEDRO FRANCISCO MOURA,Rural,Municipal,-9.538141,-36.132813,true,true,false,false
27225844,2706406,27,UNIDADE MUNICIPAL DE ENSINO ASSENTAMENTO ALEMAR,Rural,Municipal,-9.713089,-37.495156,true,true,false,false
27226000,2706901,27,ESCOLA DE ENSINO FUNDAMENTAL E MEDIO CRIATIVA LTDA,Urbana,Privada,-9.607106,-35.953930,true,true,true,true
27226018,2706901,27,E M E B EMBAIXADOR RENATO DE MENDONCA,Urbana,Municipal,-9.598519,-35.961252,false,false,true,false
27226395,2707602,27,ESCOLA MUNICIPAL PROFESSORA MIRTA CORREIA COSTA,Rural,Municipal,-9.308737,-36.473563,false,false,true,false
27226913,2706901,27,ESCOLA MUNICIPAL DE EDUCACAO BASICA NOSSA SENHORA DO PILAR,Urbana,Municipal,-9.606853,-35.953064,false,false,true,false
27230465,2707107,27,ESCOLA MUNICIPAL DE EDUCACAO BASICA PROFESSOR IVAN FERNANDES LIMA,Urbana,Municipal,-9.599608,-37.769958,false,true,true,false
27238806,2701209,27,CENTRO EDUCACIONAL PROFESSORA DARCY DUARTE DE AMORIM,Urbana,Privada,,,false,true,true,true
27312011,2706901,27,E M E B PROFESSOR JORGE BARROS,Urbana,Municipal,-9.606903,-35.952102,false,true,false,false
27340015,2700409,27,CENTRO PEDAGOGICO EDUCANDO PARA VIDA,Urbana,Privada,,,true,true,false,false
27341011,2700409,27,ESCOLA MUNICIPAL JABES FRANCISCO DA SILVA,Urbana,Municipal,-9.503940,-36.022688,true,true,false,false
27352013,2700409,27,CENTRO EDUCACIONAL O PEQUENO PRINCIPE,Urbana,Privada,-9.500725,-36.024583,true,true,true,true
27356019,2705705,27,ESCOLA DE ENSINO FUNDAMENTAL SANTA IZABEL,Urbana,Privada,,,false,true,false,false
35004036,3525904,35,COLEGIO ELISEOS,Urbana,Privada,-23.188872,-46.902585,true,true,true,true
35004080,3506102,35,ESCOLA MUNICIPAL DE EDUCACAO BASICA ANTONIO CARLOS ROCHA,Urbana,Municipal,-20.915580,-48.482274,true,true,false,false
35004304,3543402,35,ESCOLA CONCEPT,Urbana,Privada,-21.235774,-47.836821,true,true,true,true
35004305,3543402,35,COLEGIO ELEVE DE RIBEIRAO PRETO,Urbana,Privada,-21.164126,-47.807516,true,true,false,false
35004373,3543402,35,ESPACO ARTE DO MUSEU,Urbana,Privada,,,false,true,true,false
35004419,3506102,35,ESCOLA MUNICIPAL DE EDUCACAO BASICA PROFESSORA EFIGENIA COLOZIO DENARDI CARDOSO,Urbana,Municipal,-21.000959,-48.548709,true,true,false,false
35004904,3525904,35,COLEGIO PENTAGUNUM OBJETIVO JUNDIAI,Urbana,Privada,-23.196862,-46.896148,true,true,true,true
35004999,3505500,35,ESCOLA INFANTIL TIA MERCIA,Urbana,Privada,-20.584375,-48.569977,true,true,false,false
35005000,3505500,35,ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL DOCE MEL,Urbana,Privada,-20.547337,-48.566506,true,true,false,false
35005019,3505500,35,ESCOLA DE EDUCACAO INFANTIL VIDA DE CRIANCA,Urbana,Privada,-20.565342,-48.571424,true,true,false,false
35005395,3543402,35,MAPLE BEAR CANADIAN SCHOOL RIBEIRAO PRETO,Urbana,Privada,-21.219537,-47.808250,true,true,true,true
35005502,3516309,35,BELEM DA SERRA,Urbana,Estadual,-23.277578,-46.739832,false,false,true,true
35005770,3516309,35,CELESTINA VALENTE LENGENFELDER PROFA,Urbana,Estadual,-23.283852,-46.748077,false,false,true,false
35005942,3556909,35,ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL PEQUENO APRENDIZ,Urbana,Privada,-21.172973,-48.629602,true,true,false,false
35005948,3525904,35,ESCOLA PATELLI JUNDIAI,Urbana,Privada,-23.187857,-46.855709,false,true,true,false
35006013,3506102,35,COLEGIO DOM MAGICO,Urbana,Privada,-20.951866,-48.485703,false,true,false,false
35006183,3543402,35,COLEGIO INDEPENDENCIA,Urbana,Privada,,,true,true,false,false
35006884,3525904,35,ESCOLA DE EDUCACAO INFANTIL E FUNDAMENTAL EDUCARMAIS LTDA,Urbana,Privada,-23.185084,-46.986134,true,true,true,false
35006969,3525904,35,COLEGIO CARREIRA LTDA,Urbana,Privada,,,false,true,true,false
35006994,3525904,35,RED HOUSE INTERNATIONAL SCHOOL,Urbana,Privada,,,true,true,false,false
35007119,3516309,35,COLEGIO REOBOTE,Urbana,Privada,,,true,true,false,false
35007131,3543402,35,COLEGIO SPIRLANDELLI,Urbana,Privada,,,true,true,false,false
35007202,3543402,35,JARDIM BELA LIRIA ESCOLA DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL I,Urbana,Privada,,,true,true,false,false
35007288,3505500,35,FRANCISCO CORREA EMR,Rural,Municipal,-20.572329,-48.567642,false,true,false,false
35007539,3505500,35,COLEGIO LICEU EDUCACIONAL BARRETOS,Urbana,Privada,,,false,true,true,true
35007649,3506102,35,COLEGIO NOVOTEMPO,Urbana,Privada,-20.958183,-48.483595,true,true,false,false
35007840,3543402,35,COC RIBEIRAO PRETO REDE UNICA EDUCACAO,Urbana,Privada,-21.187952,-47.811650,true,true,true,false
35007872,3543402,35,COLEGIO SALOMAO,Urbana,Privada,,,true,true,true,false
35007958,3543402,35,COLEGIO ELEVE DE RIBEIRAO PRETO UNIDADE KENNEDY,Urbana,Privada,,,true,true,true,false
35008462,3516309,35,ESCOLA INFANTIL MENINO JESUS,Urbana,Privada,,,true,true,false,false
35009366,3543402,35,COLEGIO NOVO UNIDADE ALTO DA BOA VISTA,Urbana,Privada,,,true,true,true,true
35009470,3525904,35,COLEGIO AURUM,Urbana,Privada,,,true,true,true,false
35009503,3543402,35,LICEU SAO SEBASTIAO,Urbana,Privada,,,false,true,false,false
35009602,3506102,35,COLEGIO LICEU PAULO FREIRE,Urbana,Privada,,,false,false,true,true
